#{"t_start": 1754094254.136626, "env_id": "None"}
r,l,t
129.070437,365,397.025459
123.547589,365,397.201664
160.204166,365,397.364788
173.605379,365,397.52179
119.495727,365,397.675791
107.672569,365,398.867547
72.54644,365,399.065584
143.70914,365,399.237641
8.222981,365,399.398636
209.596837,365,399.555636
60.999855,365,399.708639
134.701861,365,400.944474
142.103492,365,401.127473
136.153075,365,401.286472
197.533348,365,401.439568
69.974123,365,401.592472
130.56047,365,402.805462
186.854829,365,403.007488
117.224818,365,403.179467
105.383157,365,403.343785
95.462735,365,403.500784
113.044556,365,403.658156
141.726581,365,404.879419
157.756209,365,405.07242
123.972739,365,405.233419
127.633591,365,405.387419
155.377997,365,405.542419
117.104842,365,406.81952
128.628716,365,407.026538
146.283721,365,407.205629
175.092815,365,407.368519
138.151322,365,407.528502
167.750881,365,407.683486
154.023779,365,408.893016
61.800402,365,409.099018
56.585384,365,409.267032
142.445129,365,409.425979
184.850947,365,409.588068
74.708404,365,409.743067
133.837638,365,410.981551
53.271877,365,411.166422
129.434063,365,411.331067
185.699515,365,411.485693
196.160302,365,411.63968
102.37117,365,412.955854
139.073958,365,413.186406
-48.157574,365,413.360401
111.392534,365,413.522803
162.545791,365,413.685803
138.241586,365,413.839802
144.886806,365,415.087432
